ENSEMBL	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	regulation
ENSG00000187634	262.695796043942	-0.0298864902248912	0.263426047704116	-0.113453056314538	0.90967137834204	0.966504821203336	NotSig
ENSG00000188976	2060.08512150244	-0.0382774970143825	0.103410890039842	-0.370149575152434	0.711271045539875	0.881945751585101	NotSig
ENSG00000187961	484.347264934423	0.0274517175671093	0.122382350992671	0.224311081985615	0.822515253725133	0.930906474707705	NotSig
ENSG00000188290	1008.32296168404	-0.299082190901822	0.277978795908298	-1.0759172832754	0.281964251556126	0.645048465885756	NotSig
ENSG00000187608	255.131005260706	-1.5477579710091	0.405397815968023	-3.81787446810316	0.000134606382361896	0.00735472895262525	Down
ENSG00000188157	7175.79109493247	0.0467966387812354	0.336912319391689	0.138898568226086	0.88953030239114	0.959285164435456	NotSig
ENSG00000131591	137.767825440593	0.0815199894438463	0.198509286482269	0.410660835512739	0.681321248549764	0.868753654227449	NotSig
ENSG00000078808	2304.79371096892	-0.249689966301337	0.132324960637248	-1.88694532837104	0.0591676794757726	0.32526379268051	NotSig
ENSG00000176022	315.603937693614	-0.0314616333603232	0.138037789293286	-0.227920437739534	0.819708093829959	0.929370762626174	NotSig
ENSG00000184163	35.7086960655113	-0.242211997559676	0.255343043836559	-0.948574881541365	0.342836871280031	0.687011207506587	NotSig
ENSG00000160087	1057.0878902722	-0.129026256918671	0.146567746748938	-0.880318213117416	0.378686948752622	0.709844466924503	NotSig
ENSG00000162572	154.277003531946	-0.0558947046460571	0.184103434315081	-0.30360489935455	0.761428918532065	0.903827321931751	NotSig
ENSG00000131584	2254.33680577627	-0.123041079952378	0.0969944334483166	-1.26853753950674	0.204606053697094	0.571840236334845	NotSig
ENSG00000169972	245.877990993127	0.00243305725266008	0.21460630671825	0.0113373054588482	0.990954332793739	0.996711259343881	NotSig
ENSG00000127054	2168.67630634571	-0.0125443035637505	0.142514008763672	-0.0880215473031319	0.929859550339068	0.973671922727745	NotSig
ENSG00000224051	137.328305937532	-0.16615280512848	0.164062604160669	-1.01274026447711	0.311184240069157	0.667797260290819	NotSig
ENSG00000169962	58.9050698336776	-0.414957116278566	0.282339356694718	-1.46971049709957	0.14164017851182	0.496916348929408	NotSig
ENSG00000107404	1510.75221205497	-0.108959796280219	0.088564459467238	-1.23028805161426	0.21858925703053	0.586216394863447	NotSig
ENSG00000162576	3209.91410359237	-0.674200288082139	0.188292984728082	-3.58059164581073	0.000342817073197773	0.0137024674911857	NotSig
ENSG00000175756	1691.33721522012	-0.371193584120975	0.296314397412941	-1.252701817265	0.21031424438315	0.580080429258124	NotSig
ENSG00000221978	3426.0453540893	-0.0420649285425012	0.0779815655436379	-0.53942144209662	0.589596089102706	0.822173294556612	NotSig
ENSG00000242485	1448.48861010123	-0.225619740938848	0.261261383457022	-0.863578604512607	0.387819421711754	0.714306956518132	NotSig
ENSG00000235098	220.528420420083	-0.297069298865017	0.164991507106579	-1.80051266925588	0.071779724930906	0.357689744676015	NotSig
ENSG00000205116	13.6426465321271	-0.219027386150269	0.428216983158974	-0.511486920800047	0.609010144498871	0.834644524592776	NotSig
ENSG00000179403	139.967382492425	-0.454699860397487	0.236083729194105	-1.92601100444173	0.0541029998000952	0.310811415288592	NotSig
ENSG00000215915	10.3924670484354	-1.30706201106665	0.51361174412744	-2.54484447836601	0.0109326418038146	0.124882402798741	NotSig
ENSG00000160072	766.162659429946	-0.0784849573556967	0.169105037239164	-0.464119571108316	0.642562080647928	0.849146321400656	NotSig
ENSG00000197785	887.475897049798	-0.137654778712219	0.131739226044948	-1.04490350250922	0.296067570847948	0.656069683261856	NotSig
ENSG00000205090	70.3556288412701	0.218343370071196	0.301368119345203	0.724507192551093	0.46875441307967	0.758387853631486	NotSig
ENSG00000160075	1771.61680102308	-0.176846046015931	0.205250608351004	-0.861610337902152	0.388901980251166	0.715284968156823	NotSig
ENSG00000228594	55.531494653449	-0.228469936479217	0.326665607935771	-0.699400031496855	0.484302068164413	0.767802904940725	NotSig
ENSG00000197530	1898.53086589969	-0.193115970691076	0.112252311324617	-1.72037411445911	0.0853644591931475	0.392985099918498	NotSig
ENSG00000189409	28.0587760960393	-0.116497090170602	0.476923065892426	-0.244268097942823	0.807023189367958	0.923836790505661	NotSig
ENSG00000248333	1425.55237520228	-0.216361126478823	0.147563039304575	-1.4662284505556	0.142586060232305	0.49804610732577	NotSig
ENSG00000189339	249.096726482507	0.330059553758357	0.436593967358746	0.755987435545919	0.449656728883836	0.748559684205367	NotSig
ENSG00000008128	858.050285675379	-0.211596296488235	0.146435957925942	-1.44497498760002	0.148464911415131	0.506875927069476	NotSig
ENSG00000215790	82.0556731124117	0.133697418084864	0.303715514266942	0.440206086961216	0.65978785153454	0.858929984932562	NotSig
ENSG00000008130	697.874773408521	-0.00816928761524917	0.156972152769841	-0.052042909975423	0.958494502504127	0.98462248520736	NotSig
ENSG00000078369	4076.07632865636	0.0521837380179629	0.109734407694897	0.475545812057904	0.634397988131641	0.844407954156629	NotSig
ENSG00000169885	81.0992868043177	-0.499627515185667	0.29414062750961	-1.69860083394751	0.0893944192303428	0.400084159760656	NotSig
ENSG00000178821	110.07833309981	-0.375327783868824	0.204776607746788	-1.83286454443531	0.0668227176124963	0.346158057711453	NotSig
ENSG00000142609	12.3570202092179	-0.0100622985106818	0.349642870257187	-0.0287787893494875	0.977041017519683	0.992199513195339	NotSig
ENSG00000187730	40.3619985073075	-0.892272045608009	0.260907260121631	-3.41988201168509	0.000626483017162342	0.0205088707363631	NotSig
