ENSEMBL	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	regulation
ENSG00000187634	262.695796043942	1.09678309601219	0.269201877576652	4.07420299548207	4.61721956030908e-05	0.000440529639689645	Up
ENSG00000188976	2060.08512150244	-0.134125605230221	0.103800014006851	-1.29215401860512	0.196303811842919	0.310673041312957	NotSig
ENSG00000187961	484.347264934423	0.11176858713155	0.124708281881013	0.896240293312602	0.370124439874055	0.49083102582158	NotSig
ENSG00000188290	1008.32296168404	-0.496063805934184	0.277857298390509	-1.78531861069563	0.0742096518202486	0.155271923364737	NotSig
ENSG00000187608	255.131005260706	0.258704799814299	0.403679049923559	0.640867540347432	0.521608746744679	0.63070760590291	NotSig
ENSG00000188157	7175.79109493247	0.495614944950654	0.337013811778576	1.4706072203245	0.141397370171442	0.246007121754571	NotSig
ENSG00000131591	137.767825440593	0.0484580992128193	0.203317076810197	0.238337575835091	0.811619279597397	0.866623715096252	NotSig
ENSG00000078808	2304.79371096892	-0.314130321816497	0.13235770170459	-2.37334373271007	0.0176278504796885	0.0544668245371778	NotSig
ENSG00000176022	315.603937693614	-0.109967510551191	0.139902888737568	-0.786027447635269	0.431851407079837	0.549707493334058	NotSig
ENSG00000184163	35.7086960655113	0.00850259480872871	0.261011482667512	0.0325755584460616	0.974013061018002	0.983609639587654	NotSig
ENSG00000160087	1057.0878902722	-0.295697059148965	0.146794841587974	-2.01435592661309	0.0439721781152605	0.106268514228091	NotSig
ENSG00000162572	154.277003531946	-0.32749328094725	0.185327904203487	-1.76710184229822	0.0772111740472902	0.159775452649398	NotSig
ENSG00000131584	2254.33680577627	-0.464505329571272	0.0970138738748708	-4.78802990766449	1.68426552670947e-06	2.37335685518532e-05	NotSig
ENSG00000169972	245.877990993127	-0.641054606306868	0.214475819454264	-2.98893650546733	0.00279950301550374	0.013320362562405	NotSig
ENSG00000127054	2168.67630634571	-0.302296962725415	0.142695996780152	-2.11846841920279	0.0341354167619248	0.0883685802236369	NotSig
ENSG00000224051	137.328305937532	-0.567844382620879	0.162587344249397	-3.49254971377013	0.00047843252969844	0.00321183175571719	NotSig
ENSG00000169962	58.9050698336776	-0.379363560882076	0.279692538275142	-1.35635924798567	0.174984892804317	0.285441184778191	NotSig
ENSG00000107404	1510.75221205497	-0.49895977740215	0.0885552048242233	-5.6344489111911	1.7561901183112e-08	3.94134244775661e-07	NotSig
ENSG00000162576	3209.91410359237	-0.446111255674536	0.188120397962676	-2.37141352296653	0.0177201928550027	0.0547060093301167	NotSig
ENSG00000175756	1691.33721522012	-0.801580174820173	0.2960989708648	-2.70713597037856	0.00678664549841791	0.0265363633349291	NotSig
ENSG00000221978	3426.0453540893	0.249780580743904	0.0785908277119469	3.17824087130633	0.00148171599151766	0.00809640113933306	NotSig
ENSG00000242485	1448.48861010123	-0.530949817561938	0.261192397590535	-2.03279200489708	0.0420735412313307	0.102882866895252	NotSig
ENSG00000235098	220.528420420083	-1.55371325869235	0.157848293468557	-9.84307922848627	7.34283597787338e-23	1.37960591353506e-20	Down
ENSG00000205116	13.6426465321271	-0.95143371486847	0.407659944633882	-2.33389060512911	0.0196014508130524	0.0587923171644051	NotSig
ENSG00000179403	139.967382492425	-1.01866999912941	0.230707206218096	-4.41542340973268	1.00812469806514e-05	0.000117721652989201	Down
ENSG00000215915	10.3924670484354	-1.19614915805447	0.407497315606131	-2.93535469374874	0.00333166611294717	0.0152675318590496	Down
ENSG00000160072	766.162659429946	-0.182214325259426	0.169616756239712	-1.07427078137204	0.282701336641362	0.404825883181469	NotSig
ENSG00000197785	887.475897049798	-0.0250385241106219	0.132470778418084	-0.1890116779687	0.850083664070089	0.89567733819449	NotSig
ENSG00000205090	70.3556288412701	-0.163305273249723	0.306825631475345	-0.532241300912456	0.594558881338292	0.691418854627256	NotSig
ENSG00000160075	1771.61680102308	-0.509573090603108	0.205215395025559	-2.48311336749196	0.013023963118733	0.0432705009079647	NotSig
ENSG00000228594	55.531494653449	-0.17139944297363	0.32854436086027	-0.521693455717313	0.601883781919001	0.697355533277444	NotSig
ENSG00000197530	1898.53086589969	-0.201437660929452	0.112447682241484	-1.79139006615414	0.0732307219184829	0.153797109446169	NotSig
ENSG00000189409	28.0587760960393	-2.49804089719674	0.440536844073479	-5.67044716191793	1.42425291204472e-08	3.25622877160927e-07	Down
ENSG00000248333	1425.55237520228	-0.12389307891411	0.147815826209827	-0.83815841707127	0.401941737744232	0.52211098800228	NotSig
ENSG00000189339	249.096726482507	0.703709158065005	0.439905836876601	1.59968133876433	0.10966929376299	0.205078920517624	NotSig
ENSG00000008128	858.050285675379	0.0352211301438082	0.147111747645513	0.239417522444764	0.810781844099581	0.86596887259307	NotSig
ENSG00000215790	82.0556731124117	0.309012005184533	0.311655900033531	0.991516621861757	0.32143338004028	0.444145406797124	NotSig
ENSG00000008130	697.874773408521	0.455447920317989	0.158944712772043	2.8654486983231	0.00416418739405161	0.0182058968555568	NotSig
ENSG00000078369	4076.07632865636	0.123196897612826	0.110080325699051	1.11915455219159	0.263074210356475	0.384535463073423	NotSig
ENSG00000169885	81.0992868043177	-0.877404095396251	0.287421597120295	-3.05267281299334	0.00226813090860603	0.0112676130391937	NotSig
ENSG00000178821	110.07833309981	-1.06319005171125	0.19711020161979	-5.39388648063005	6.89497882563525e-08	1.34369567406496e-06	Down
ENSG00000142609	12.3570202092179	-0.210767251716429	0.3589379617514	-0.587196881288377	0.557071486701801	0.660187824487699	NotSig
