ENSEMBL	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	regulation
ENSG00000187634	262.695796043942	1.0668966057873	0.26894887000309	3.96691239407343	7.28097400328469e-05	0.000335016244954904	Up
ENSG00000188976	2060.08512150244	-0.172403102244604	0.103701856731526	-1.66248809499081	0.0964149484159395	0.144238573809268	NotSig
ENSG00000187961	484.347264934423	0.139220304698659	0.124226386629959	1.12069833531714	0.262416291035776	0.335280597370031	NotSig
ENSG00000188290	1008.32296168404	-0.795145996836006	0.277951553312287	-2.86073593531113	0.0042265893201792	0.0104347483974438	NotSig
ENSG00000187608	255.131005260706	-1.2890531711948	0.406516901848007	-3.17097066649584	0.00151930484243958	0.00444596894288181	Down
ENSG00000188157	7175.79109493247	0.54241158373189	0.33700085528999	1.60952583715298	0.107501410083052	0.158176020558948	NotSig
ENSG00000131591	137.767825440593	0.129978088656666	0.201971920862316	0.643545340865831	0.519870304116611	0.591422085610071	NotSig
ENSG00000078808	2304.79371096892	-0.563820288117834	0.13240981767456	-4.25814564221819	2.06129644592137e-05	0.000111019108471068	NotSig
ENSG00000176022	315.603937693614	-0.141429143911515	0.139440484880258	-1.01426170479086	0.310457892048647	0.385925606089996	NotSig
ENSG00000184163	35.7086960655113	-0.233709402750947	0.262934610678441	-0.888849901304034	0.374083753124227	0.449655298723388	NotSig
ENSG00000160087	1057.0878902722	-0.424723316067636	0.146757040647226	-2.89405751297878	0.00380298497690691	0.00956012759464886	NotSig
ENSG00000162572	154.277003531946	-0.383387985593307	0.184739246201154	-2.07529257305648	0.0379594273646518	0.0655778714258505	NotSig
ENSG00000131584	2254.33680577627	-0.58754640952365	0.0969810567502543	-6.05836262474124	1.37514115581632e-09	1.72245244773403e-08	NotSig
ENSG00000169972	245.877990993127	-0.638621549054208	0.213885095278409	-2.9858160439975	0.00282822720294694	0.00745864129191784	NotSig
ENSG00000127054	2168.67630634571	-0.314841266289166	0.142609559434671	-2.20771501950677	0.0272641451704524	0.049788915572957	NotSig
ENSG00000224051	137.328305937532	-0.733997187749359	0.162794153116935	-4.5087441636932	6.52124893575934e-06	4.030742435831e-05	NotSig
ENSG00000169962	58.9050698336776	-0.794320677160642	0.28277912910994	-2.80897914800431	0.00496988654645113	0.0119910581722491	NotSig
ENSG00000107404	1510.75221205497	-0.607919573682368	0.088485883259816	-6.8702436059475	6.40923604031768e-12	1.14685414128029e-10	NotSig
ENSG00000162576	3209.91410359237	-1.12031154375667	0.188295609523373	-5.94974862447661	2.6855461733998e-09	3.23923285359457e-08	Down
ENSG00000175756	1691.33721522012	-1.17277375894115	0.296189306539002	-3.9595411888603	7.50938927292068e-05	0.000344512193600143	Down
ENSG00000221978	3426.0453540893	0.207715652201403	0.0785214932174317	2.64533497377875	0.00816100836146664	0.0182316429172704	NotSig
ENSG00000242485	1448.48861010123	-0.756569558500786	0.261223998490712	-2.89624828833514	0.00377653472271233	0.00950814223564816	NotSig
ENSG00000235098	220.528420420083	-1.85078255755737	0.159095213366282	-11.6331756210436	2.79502347143584e-31	4.50121637075739e-29	Down
ENSG00000205116	13.6426465321271	-1.17046110101874	0.411156376291547	-2.84675410260153	0.00441674642956433	0.0108439301265313	Down
ENSG00000179403	139.967382492425	-1.47336985952689	0.232949756338609	-6.32483966793787	2.53495651740321e-10	3.55500361364057e-09	Down
ENSG00000215915	10.3924670484354	-2.50321116912112	0.488976240245581	-5.11928998403669	3.06688082821314e-07	2.5566062876828e-06	Down
ENSG00000160072	766.162659429946	-0.260699282615123	0.169505849157425	-1.53799579136059	0.124049643826059	0.178592110413547	NotSig
ENSG00000197785	887.475897049798	-0.162693302822841	0.132438443771853	-1.22844468863668	0.219280080811779	0.288631985470722	NotSig
ENSG00000205090	70.3556288412701	0.0550380968214721	0.303925515680625	0.181090740927813	0.856296352114437	0.887280129187304	NotSig
ENSG00000160075	1771.61680102308	-0.686419136619039	0.205222127065547	-3.34476182677806	0.000823532574786548	0.00266420968730615	NotSig
ENSG00000228594	55.531494653449	-0.399869379452847	0.329285130706082	-1.21435601600173	0.224611803648224	0.294373634632867	NotSig
ENSG00000197530	1898.53086589969	-0.394553631620528	0.112473493559248	-3.50796991481986	0.000451540110745113	0.00159993237982825	NotSig
ENSG00000189409	28.0587760960393	-2.61453798736734	0.439844343356755	-5.9442346522272	2.77751489412449e-09	3.33643285027823e-08	Down
ENSG00000248333	1425.55237520228	-0.340254205392933	0.147860074055173	-2.30119055172372	0.0213808627153804	0.0406139394807389	NotSig
ENSG00000189339	249.096726482507	1.03376871182336	0.439272882426717	2.35336337201699	0.0186044435115453	0.036193829770569	Up
ENSG00000008128	858.050285675379	-0.176375166344426	0.14717846324331	-1.19837619212568	0.230770596680045	0.301125731844542	NotSig
ENSG00000215790	82.0556731124117	0.442709423269397	0.309957761848876	1.42828952121949	0.153208542695717	0.213630337943101	NotSig
ENSG00000008130	697.874773408521	0.44727863270274	0.158739109935309	2.81769648881753	0.00483695089074229	0.0117108070880271	NotSig
ENSG00000078369	4076.07632865636	0.175380635630788	0.110003899030654	1.59431290323552	0.110865969074065	0.16244158936017	NotSig
ENSG00000169885	81.0992868043177	-1.37703161058192	0.290866537887623	-4.73423866692407	2.1987887241106e-06	1.52861711346493e-05	Down
ENSG00000178821	110.07833309981	-1.43851783558007	0.199664210918534	-7.20468545145035	5.81779924432904e-13	1.20423514019269e-11	Down
ENSG00000142609	12.3570202092179	-0.220829550227111	0.35479013453688	-0.62242302908272	0.533663741526812	0.604090977829127	NotSig
